"category","title","date","author","content","url"
"news","Largest US retailer Walmart warns of price hikes because of tariffs","15 May 2025",NA,"Walmart is a bellwether of US consumer health and its statement is a signpost of the impact of the trade war. Walmart, the world’s largest retailer, will have to start raising prices later this month due to the high cost of tariffs, executives have warned in a clear signal that United States President Donald Trump’s trade war is filtering through to the US economy. As a bellwether of US consumer health, Walmart’s explicit statement on Thursday is also a signpost for how the trade war is affecting companies as Walmart is noted for its ability to manage costs more aggressively than other companies to keep prices low. Walmart’s shares fell 2.3 percent in morning trading after it also declined to provide a profit forecast for the second quarter, even as the company’s US comparable sales surpassed expectations in the first quarter. Net sales rose 2.5 percent to $165.6bn, a hair shy of estimates, while same-store sales were up 4.5 percent. Walmart’s quarterly adjusted profit was 61 cents per share, ahead of the analyst consensus for 58 cents per share. Many US companies have either slashed or pulled their full-year expectations in the wake of the trade war, as consumers stretch their budgets to buy everything from groceries to essentials at cheaper prices. But Walmart’s statement will resonate nationwide, as roughly 255 million people shop in its stores and online weekly around the world, and 90 percent of the US population lives within 10 miles of a Walmart. US shoppers will start to see prices rise at the end of May and certainly in June, Walmart’s Chief Financial Officer John David Rainey said in a CNBC interview. On a post-earnings call with analysts, he said the retailer would also have to cut back on orders as it considers price elasticity. As the largest importer of container goods in the US, Walmart is heavily exposed to tariffs, and even though the US and China reached a truce that lowered levies for imports on Chinese goods to 30 percent, that’s still a high cost to bear, executives said. “We’re very pleased and appreciative of the progress that has been made by the administration to bring tariffs down … but let me emphasise we still think that’s too high,” Rainey said on the call, referring to the tariff cuts negotiated over the weekend. “There are certain items, certain categories of merchandise that we’re dependent upon to import from other countries and the prices of those things are likely going to go up, and that’s not good for consumers,” he added.    Other retailers also said they would be boosting prices. German sandal maker Birkenstock on Thursday said it plans to raise prices globally to fully offset the impact of the US tariff of 10 percent on European Union-made goods. US consumer sentiment ebbed for a fourth straight month in April, signaling watchful purchasing, while the country’s gross domestic product (GDP) contracted for the first time in three years during the first quarter, fanning worries of a recession. Walmart’s CEO Doug McMillon said the retailer would not be able to absorb all the tariffs’ costs because of narrow retail margins, but was committed to ensuring that tariff-related costs on general merchandise – which primarily come from China – do not drive food prices higher. To mitigate the impact, Walmart is working with suppliers to substitute tariff-affected components, such as replacing aluminium with fibreglass, which is not subject to tariffs. Despite these efforts, McMillon noted that adjusting costs is more challenging in cases where Walmart imports food items like bananas, avocados, coffee, and roses from countries such as Costa Rica, Peru, and Colombia. Analysts said Walmart was better positioned than rivals, as its scale enables it to lean on its suppliers and squeeze out efficiencies to shield customers from tariffs, but only so much. “There will likely be some demand destruction from tariffs; a complete wreck is unlikely,” said Brian Jacobsen, chief economist at Annex Wealth Management. Walmart on Thursday kept its annual sales and profit forecast intact for fiscal 2026, but withheld second-quarter operating income growth and earnings per share forecasts, citing a “fluid operating environment … [which] makes the very near term exceedingly difficult to forecast at the level and speed at which tariffs could go up”.          Follow Al Jazeera English:","https://www.aljazeera.com/economy/2025/5/15/largest-us-retailer-walmart-warns-of-price-hikes-because-of-tariffs"
"news","UK’s Starmer seeking third countries to set up asylum seeker ‘return hubs’","15 May 2025",NA,"PM’s plans compared to Conservatives’ controversial Rwanda deportation policy, which he had dismissed as a ‘gimmick’. The United Kingdom is talking to third countries about setting up “return hubs” to host asylum seekers refused the right to stay in the country as part of a renewed crackdown on immigration, Prime Minister Keir Starmer said. The UK leader is under increasing pressure to cut the number of migrants arriving on UK shores amid the rising popularity of the far-right Reform UK Party. He said on Thursday that he was talking to “a number of countries” about hosting the “return hubs”, which would receive failed asylum seekers who have exhausted all avenues of appeal for processing prior to deportation. Speaking during a visit to Albania, Starmer did not specify which countries he was speaking to about the scheme, which has drawn comparisons with a plan developed by the previous Conservative government to deport asylum seekers to Rwanda, which Starmer had dismissed as a gimmick and scrapped immediately after entering office in July.    The subject was apparently not on the agenda for Starmer’s meetings in Tirana, with Albanian Prime Minister Edi Rama specifying in a joint news conference that a similar returns model, which his country had agreed to with Italy last year, was a “one off” that “takes its time to be tested”. That scheme, which could see Italian-run facilities in Albania holding up to 36,000 asylum seekers annually while their applications are fast-tracked, is currently bogged down in the courts. Starmer admitted that establishing the facilities would not be a “silver bullet” for halting the perilous crossings of the English Channel in small boats, which have seen 12,000 people arriving so far this year, putting 2025 on course to potentially see a record high number of arrivals. However, combined with other measures to tackle smuggling gangs, he said the plan would “allow us to bear down on this vile trade”. Starmer claimed his new Labour government had been left a “mess” by the previous Conservative leadership, which he said had failed to process asylum claims. The prime minister’s official spokesperson said, “This will basically apply to people who have exhausted all legal routes to remain in the UK but are attempting to stall, using various tactics – whether it’s losing their paperwork or using other tactics to frustrate their removal.” The announcement was the latest in a host of tough new immigration policies, including plans to double the length of time before migrants can qualify for settlement in the country, which are widely seen as an attempt to fend off rising support for far-right firebrand Nigel Farage’s Reform UK Party.          Follow Al Jazeera English:","https://www.aljazeera.com/news/2025/5/15/uks-starmer-seeking-third-countries-willing-to-set-up-migrant-hubs"
"news","Ukraine’s Zelenskyy to send delegation for Russia talks after Putin no-show","15 May 2025",NA,"Putin’s absence casts doubt on peace talks in Turkiye, raising concerns about potential intensified sanctions. Ukrainian President Volodymyr Zelenskyy has said he is sending a team headed by his defence minister to Istanbul for the first direct talks with a Russian delegation since the early weeks of Russia’s full-scale invasion in 2022. Zelenskyy announced the move on Thursday after the Kremlin said Russian President Vladimir Putin had no intention to meet with him in Turkiye, sending instead a junior delegation – a move that Estonian Foreign Minister Margus Tsahkna said was “like a slap in the face”. The Ukrainian president said in a news conference in the Turkish capital, Ankara, that the Russian delegation doesn’t include “anyone who actually makes decisions”, accusing Moscow of not making efforts to end the war. The Ukrainian delegation will be headed by Defence Minister Rustem Umerov with the aim “to attempt at least the first steps toward de-escalation, the first steps toward ending the war – namely, a ceasefire”, he said. It was not immediately clear when the delegations would meet.    Al Jazeera’s Sinem Koseoglu, reporting in front of the Ukrainian embassy in Ankara, said Zelenskyy chose a delegation “in equilibrium” with the Russian one. “He said they didn’t mind taking the first step towards an immediate ceasefire that is necessary for direct peace talks,” she said. Still, “there won’t be any negotiations, and Zelenskyy underlined that even his delegation has no mandate to decide anything. So tomorrow, it is probably going to be technical talks between the two delegations,” she added. US President Trump, who had pressed for Putin and Zelenskyy to meet face-to-face in Istanbul, brushed off Putin’s absence from the talks. “Nothing’s going to happen until Russian President Vladimir Putin and I get together, OK?” Trump said on board Air Force One just before landing in Dubai on the third stop of his Middle East trip. “I didn’t think it was possible for Putin to go if I’m not there.” Putin’s absence punctured hopes of a breakthrough in ceasefire efforts that were given a push in recent months by the Trump administration and Western European leaders amid the intense manoeuvring. It also raised the prospect of intensified international sanctions on Russia that have been threatened by the West. Turkish President Recep Tayyip Erdogan earlier welcomed Zelenskyy with an honour guard at the presidential palace in Ankara before the two held talks. “Now, after three years of immense suffering, there is finally a window of opportunity,” Turkish Foreign Minister Hakan Fidan said at a NATO meeting taking place separately in Turkiye. “The talks … hopefully may open a new chapter.”          Follow Al Jazeera English:","https://www.aljazeera.com/news/2025/5/15/ukraines-zelenskyy-sends-delegation-for-russia-talks-after-putin-no-show"
"news","Wisconsin judge pleads not guilty to obstructing immigration arrest","15 May 2025",NA,"Federal authorities allege that Judge Hannah Dugan helped an undocumented man evade arrest by immigration agents. A Wisconsin judge has pleaded not guilty to charges accusing her of helping an undocumented immigrant in her courtroom avoid arrest by immigration enforcement agents. Milwaukee County Circuit Court Judge Hannah Dugan was charged last month with concealing an individual to prevent arrest and obstruction. She could face up to six years in prison if convicted on both counts. Dugan’s lawyer, Steven Biskupic, entered a not guilty plea on her behalf during a brief arraignment in a federal court on Thursday, with a trial date set for July 22. Immigration authorities allege she escorted Eduardo Flores-Ruiz, a man in the US without documentation, and his lawyer out of her courtroom and through a backdoor as immigration agents sought to arrest him. The case is the latest to underscore tensions between local officials and a Trump administration pursuing an aggressive crackdown on immigration that civil liberties groups say has tested the limits of executive power. Dugan left the courtroom on Thursday without comment. A crowd of protesters outside of the court chanted “due process rights” and “keep your hands off our judges” and held signs reading “only fascists arrest judges — drop the charges” and “Department of Justice overreach”. Immigration raids on sensitive places such as courts have long been a matter of dispute, with immigration rights advocates saying that such raids discourage people in the US without documentation from accessing legal assistance or cooperating in legal matters. An FBI affidavit says that when an aide informed Dugan that immigration agents appeared to be in the hallway outside her courtroom, she called the situation “absurd” and later confronted them about their warrant. The Trump administration has consistently stated that it will seek to penalise local officials who do not help facilitate its enforcement push, even saying that legal action could be taken against such officials. State and local officials in Democrat-led states have also said in a recent lawsuit that the administration threatened to withhold federal funds if they are not more cooperative with enforcement efforts, which they maintain is unconstitutional since Congress is tasked with the allocation of federal funds.             Follow Al Jazeera English:","https://www.aljazeera.com/news/2025/5/15/wisconsin-judge-pleads-not-guilty-to-obstructing-immigration-arrest"
"news","LIVE: Espanyol vs Barcelona – La Liga","15 May 2025","Kevin Hand","Follow our live build-up, with full team news and analysis, before our comprehensive text and photo commentary stream. Follow Al Jazeera English:","https://www.aljazeera.com/sports/liveblog/2025/5/15/live-espanyol-vs-barcelona-la-liga"
"news","On Nakba Day, Trump tours the Gulf as Gaza starves","15 May 2025",NA,"77 years after the Nakba, one in five people in Gaza faces starvation as Israel blocks all aid. Gaza is starving. As Palestinians mark 77 years since the Nakba, families are still under bombardment, cut off from aid and struggling to survive. With US President Donald Trump touring the Gulf, what will it take to bring relief to Palestinians? Follow Al Jazeera English:","https://www.aljazeera.com/program/the-take-2/2025/5/15/aje-onl-tt_pal_nakba2025_av_v2-150525"
"news","Chopra: Nadeem javelin friendship ‘not the same’ after India-Pakistan clash","15 May 2025","Hafsa Adil","The recent military escalations have damaged a once exemplary athlete bond between Olympic javelin throwers Neeraj Chopra of India and Pakistan’s Arshad Nadeem. Doha, Qatar – India’s Olympic gold medal-winning athlete Neeraj Chopra believes the recent escalations between his country and neighbouring Pakistan will affect the hugely popular friendship he shared with his cross-border counterpart Arshad Nadeem. Both men’s javelin athletes have earned widespread praise for overlooking the decades-old South Asian rivalry with their friendly interactions at international tournaments, but Chopra said on Thursday that his relationship with Nadeem is unlikely to remain the same. India and Pakistan were involved in a brief but intense military confrontation last week that threatened to erupt into the fifth full-scale war between the two countries. “It will not be like it was before [the recent escalations],” Chopra told Al Jazeera when asked about the repercussions of the tensions on his friendship with Nadeem. “I never had a very deep friendship with him, but we were always respectful towards each other,” he added while speaking before the Doha Diamond League, a World Athletics meet scheduled for Friday in Qatar. The frequent words of encouragement and appreciation exchanged between Chopra, who won Olympic gold at Tokyo 2021, and Nadeem, who bagged gold at Paris 2024, rendered both the darlings of social media and the face of a rare cross-border friendship. Happy Birthday to my friend and fellow athlete @Neeraj_chopra1 Wishing you a year filled with happiness, success, better health and joy. May you have a wonderful life ahead! — Arshad Nadeem (@ArshadOlympian1) December 24, 2024  However, following the April 22 attack that left 26 civilians dead in Pahalgam, in Indian-administered Kashmir, Chopra faced intense social media backlash for inviting Nadeem to the May 24 Neeraj Chopra Classic javelin event in India. The invitation was extended before the attack and was declined by Nadeem, citing his preparations for the May 27-31 Asian Athletics Championship in South Korea. Chopra’s eponymous event was eventually postponed in the wake of the cross-border conflict, but not before the 27-year-old Indian athlete released a statement on April 25, saying Nadeem’s participation at the meet was “completely out of the question” following the Pahalgam attack. pic.twitter.com/yMsX8ggnLA — Neeraj Chopra (@Neeraj_chopra1) April 25, 2025  On May 7, India launched multiple missile attacks on Pakistan and Pakistan-administered Kashmir, and the Pakistani military claimed to have shot down multiple Indian air force planes. Three days later, Pakistan retaliated with a missile attack on Indian airbases. Both countries were on the precipice of war before a United States-brokered ceasefire was agreed. Amid the war-like scenario, both Chopra and Nadeem took to social media to pledge their support for their respective armed forces. It was in stark contrast to the warmth shared by the world’s top javelin throwers, who often posed together for photographs at athletics events and shared greetings on social media. Chopra and Nadeem were gold and silver medallists at the World Athletics Championships in 2023 and celebrated together as the Indian asked his Pakistani opponent to join him for a photo and stood close with their arms around each other. When Nadeem became the first Pakistani track and field athlete to win a gold medal at the Paris Olympics, Chopra’s mother won hearts across the border when she said Nadeem was also like a “son” to her. It is unclear when the athletes will compete against each other, as Nadeem is not participating at the Doha Diamond League and Chopra is set to skip the Asian Athletics Championships in South Korea. Despite the fallout of the recent political and military standoff, Chopra said he will continue to maintain a respectful demeanour towards Nadeem. “I have a lot of friends in the athletics circuit since javelin throwers are a very small community,” Chopra said. “I will always reciprocate the respect I receive from my fellow athletes.”          Follow Al Jazeera English:","https://www.aljazeera.com/sports/2025/5/15/chopra-nadeem-javelin-friendship-not-the-same-after-india-pakistan-clash"
"news","Could EU tariffs against Russia bring a ceasefire for Ukraine?","15 May 2025","Al Jazeera Staff","As Vladimir Putin rejects Ukrainian President Volodymyr Zelenskyy’s proposal for a face-to-face meeting, the EU is readying penalties. Brussels is drawing up plans to use trade tariffs and capital controls to maintain financial pressure on Russia, even if Hungary decides to use its veto to block an extension of the European Union’s sanctions regime, which lapses in July of this year. The European Commission has told ministers that a large part of the EU’s sanctions, which included freezing 200 billion euros ($224bn) of Russian assets, could be adapted to a new legal framework to bypass Budapest’s veto, according to the United Kingdom’s Financial Times newspaper. Viktor Orban, Hungary’s prime minister, has repeatedly held up EU boycotts on Moscow as the central European country gets 85 percent of its natural gas from Russia. Orban’s nationalist government is also one of the most friendly to Moscow in all of Europe. In any event, the EU’s recent proposals have emerged as Moscow and Kyiv hold their first direct peace talks since Russia’s full-scale invasion of Ukraine in February 2022. Ukrainian and Russian representatives are convening today in Istanbul, Turkiye. However, Vladimir Putin will not travel to Istanbul for face-to-face talks with Volodymyr Zelenskyy. Last weekend, European leaders held talks in Ukraine to put pressure on Russia to agree to a 30-day ceasefire in the run-up to the Istanbul talks. Ukraine agreed to it. Russia did not.    The EU adopted its 17th sanctions package against Moscow, designed to stifle Russia’s economy and force President Vladimir Putin to end the war in Ukraine, on Wednesday. This package has been signed off by Budapest and will be formally ratified by the European Commission next week. Brussels has progressively expanded sanctions against Moscow since 2022, introducing import bans on Russian oil, a price cap on Russian fuel and the freezing of Russian central bank assets held in European financial institutions. Vast swaths of Russia’s economy – from media organisations to aviation and telecommunications – are now under EU restrictions, in addition to trade bans and measures targeting oligarchs and politicians. Under the 17th package, some 200 “shadow fleet” tankers have been sanctioned. These are ships with opaque ownership and no Western ties in terms of finance or insurance, allowing them to bypass financial sanctions. The latest sanctions will also target Chinese and Turkish entities that the EU says are helping Russia to evade embargoes. New restrictions will be imposed on 30 companies involved in the trade of dual-use goods – products with potential military applications. “Russia has found ways to circumvent the blockage imposed by Europe and the United States, so closing the tap would grab Russia by the throat,” France’s foreign minister, Jean-Noel Barrot, told BFM TV.    Alongside military support for Kyiv, sanctions have been the EU’s main response to Russia’s war on Ukraine. But sanctions have so far failed to stop the war. What’s more, due to high oil prices and elevated military spending, Russia’s economy has outperformed expectations since the start of 2022. Barrot acknowledged on Wednesday that the impact of sanctions has been insufficient. “We will need to go further because the sanctions so far have not dissuaded Vladimir Putin from continuing his war of aggression … we must prepare to expand devastating sanctions that could suffocate, once and for all, Russia’s economy,” said Barrot. While the 17th round of sanctions was only agreed on Wednesday, EU ministers are already considering what more might be done to undermine Putin’s political clout if the war in Ukraine persists. Capital controls, which would be aimed at restricting money flowing in and out of Russia, and trade measures such as tariffs, are two options that have been mentioned by the European Commission in recent weeks. Capital controls can take a variety of forms, including restrictions on foreign investment, limiting currency exchange or imposing taxes on the movement of capital. The commission also aims to share proposals next month that would allow Brussels to implement a ban on new Russian gas spot market contracts – deals for immediate delivery and payment – with European companies in 2025, and a total phase-out by 2027. Despite oil export restrictions, Russia still earns billions of euros from natural gas sales into the EU through liquefied natural gas (LNG) and TurkStream (a pipeline connecting Russia to southeastern Europe via the Black Sea). Banning spot market contracts would lower Moscow’s revenue from these sources. Brussels may also propose tariffs on enriched uranium as part of its effort to cut EU reliance on Russian fuels. According to The Financial Times, the EU insists that these measures would not amount to sanctions and therefore would not need the unanimous backing of all 27 EU countries, which is normally required to extend sanctions. “I think the EU cooked up these potential punishments to try and get Russia to agree to the 30-day ceasefire … it was the stick they were brandishing,” said an analyst familiar with the matter who asked not to be named. It may. On May 1, Senator Lindsey Graham, a South Carolina Republican, said he had the commitment of 72 colleagues for a bill that would enact “bone-crushing” sanctions on Russia. Graham, a close ally of President Donald Trump, is spearheading a draft bill that seeks to impose a 500 percent tariff on imports from countries that buy Russian oil and fossil fuels. Trump himself, who seemingly welcomes the possibility of a rapprochement with Russia, said in March that he was “considering” imposing sanctions and tariffs on Russia until a peace agreement is reached with Ukraine. “Most Russian people want life to return to normal and business owners are getting tired of war-related costs,” the anonymous analyst told Al Jazeera. “There is a growing sense of unease.” She said she doubted whether the EU’s touted measures would bring Putin any closer to signing a peace agreement, however. “Only because sanctions haven’t been able to do that,” she said, “and there’s already a maze of them.” According to Castellum.AI, a global risk platform, Russia has been slapped with 21,692 sanctions since the start of the war – the majority of them against individuals. “On past performance, it’s hard to see how even more sanctions and additional punishments will stop the fighting,” the analyst said. She estimated a 60 percent chance that Russia and Ukraine would still be at war by the end of this year.          Follow Al Jazeera English:","https://www.aljazeera.com/news/2025/5/15/could-eu-tariffs-against-russia-bring-a-ceasefire-for-ukraine"
"news","What have US President Donald Trump’s tariff policies achieved?","15 May 2025","Megha Bahree","Trump’s policies have roiled global markets and left businesses stumped on how to plan for the foreseeable future. When examining the on-again, off-again tariff proclamations of United States President Donald Trump during his second term in office, it is unclear what has actually been achieved. What is clear is that Trump’s tariff announcements have roiled global markets, wiping out trillions in value, and leaving many businesses stumped on how to plan for the future amid the never-ending uncertainty.     Within days of being sworn into office for his second term, Trump imposed 25-percent tariffs on Mexican and most Canadian imports and 10 percent on China, arguing they needed to do more to stem the flow of fentanyl and undocumented migrants into the US. He soon suspended those on Canada and Mexico for 30 days – but not on China – in return for concessions on border and law enforcement. Since then, he has raised 25-percent tariffs on steel, aluminium, and auto and auto parts, and brought back levies on Mexico and Canada and doubled fentanyl-related tariffs on all Chinese imports to 20 percent. He then went back and forth on tariffs on car imports from Canada and Mexico, finally settling on a 25-percent on global car imports. Then, in April, he announced his “reciprocal” tariffs on dozens of countries around the world, with a 10-percent baseline tariff on all countries around the world. He paused the “reciprocal” tariffs for 90 days after a bloodbath on Wall Street, but maintained the 10-percent global tax and instituted a 145-percent tax on China – which then retaliated with a 125-percent tax on US goods entering the country. Soon after, Trump started rolling back some tariffs as the US struck trade deals. The first came last week, in the form of a limited trade agreement with the United Kingdom, which kept in place the 10-percent levy on many products, but did lower US tariffs on British auto imports to 10 percent from the current 27.5 percent, annoying domestic US car-makers. But the one that everyone was watching for came earlier this week on Monday: The US and China announced a pause and scale back of tariffs for 90 days, with the US lowering its tax to 30 percent and China to 10 percent, while the two rivals hammer out a trade agreement. But even before the May 12 announcement, the US had already carved out exceptions for smartphones, computers and other tech products, that it largely imports from China. Then, per the Monday agreement, it also slashed the tariff on low-value, “de minimis” imports from China, reducing duties to 54 percent from 120 percent for items valued at up to $800. Such goods were previously brought into the US without having to pay any import duties and with minimal inspections. Such imports were heavily criticised, not only accused of flooding the country with cheap products, but for being used by traffickers to bring in drugs, including fentanyl. Fentanyl-trafficking was the justification for the initial tariffs placed on China, Mexico and Canada, so it’s not clear if the US government is still concerned about that route being potentially abused by drug hauliers. While the various tariff rollbacks and pauses have been welcomed by businesses, the respite has not removed uncertainty entirely. Brief pauses in tariffs are not sufficient for many companies to make longer-term investment or supply chain decisions.    It’s small businesses, which employ 45.9 percent of the US workforce and account for 43.5 percent of the US gross domestic product (GDP), that feel the effects most keenly because of their limited buffer, as we reported last week. There are fears that the uncertainty is taking a toll on the US economy. A Bloomberg poll of economists put the chances of a recession next year at almost 50-50, the news agency reported on Monday. And while inflation has so far been kept in check – consumer prices rose 2.3 percent in April from a year ago, down from 2.4 percent in March – economists have said they expect inflation to rise by the middle of the year, and consumer confidence has hit a 13-year low even before sky-high prices return. On Thursday Walmart, the world’s largest retailer and the biggest container importer in the US a lot of which is from China, warned it would have to start raising prices by the end of this month due to the high cost of tariffs even after they had been slashed to 30 percent. Trump has acknowledged a potential rise in prices – US children will have “two dolls instead of 30 dolls. So maybe the two dolls will cost a couple bucks more than they would normally”, he said recently. But it’s not clear where he is headed with his tariffs, even as some companies have announced billions worth of new investments, and some that were recycling of previous ones – like Apple’s February announcement that it would invest $500bn in the US over the next four years, but which analysts said included current commitments. But that’s more a matter of the ledger for the next few years rather than jobs on the ground.             Follow Al Jazeera English:","https://www.aljazeera.com/economy/2025/5/15/what-have-us-president-donald-trumps-tariff-policies-achieved"
"news","India and Pakistan trade accusations of nuclear weapons mismanagement","15 May 2025",NA,"Islamabad hits back after Indian defence minister says Pakistan’s nuclear arsenal should be under UN surveillance. India and Pakistan have traded accusations of nuclear weapons mismanagement, days after reaching a truce following four days of cross-border fighting. India’s Defence Minister Rajnath Singh questioned the safety of nuclear weapons in Pakistan on Thursday at an army base in Srinagar, in Indian-administered Kashmir, calling the neighbouring country an “irresponsible and rogue nation”. “I believe that Pakistan’s nuclear weapons should be taken under the supervision of IAEA (International Atomic Energy Agency),” Singh said. In response to the minister’s comments, Pakistan’s Ministry of Foreign Affairs said in a statement that Singh had revealed his “profound insecurity and frustration regarding Pakistan’s effective defence and deterrence”. “The comments of India’s Defence Minister also show his sheer ignorance of the mandate and responsibilities of a specialised agency of the United Nations like the IAEA,” it read. “If anything, the IAEA and the international community should be worried about the repeated theft and illicit trafficking incidents involving nuclear and radioactive material in India,” the statement added. The UN nuclear watchdog monitors countries that have nuclear weapons to ensure that they are peaceful. Under a 2008 agreement, the IAEA monitors several Indian civilian nuclear facilities.    After conducting tit-for-tat nuclear tests in 1998, India and Pakistan became nuclear powers, making the region one of the world’s dangerous nuclear flashpoints. Last week, the two countries traded intense missile and drone attacks, leaving nearly 70 people dead. The fighting followed an April 22 rebel attack on Pahalgam, in Indian-administered Kashmir, that New Delhi blamed on Pakistan – an accusation Islamabad denied. On Saturday, United States President Donald Trump announced a surprise ceasefire agreement as world powers urged the two nuclear powers to avoid escalating tensions. While the ceasefire is currently holding, Prime Minister Narendra Modi said on Monday that India would strike at militant hideouts across the border again if there were new attacks on India and would not be deterred by what he referred to as Islamabad’s “nuclear blackmail”. However, Pakistan rejected Modi’s statements as being “provocative and inflammatory assertions”, saying they represents a dangerous escalation. Meanwhile, on Thursday, police in Indian-administered Kashmir said they killed three suspected fighters in the town of Tral, in Pulwama district south of Srinagar. Police also said three other suspected fighters died in a gun battle with soldiers on Tuesday in the southern Kashmir valley.          Follow Al Jazeera English:","https://www.aljazeera.com/news/2025/5/15/india-and-pakistan-trade-accusations-of-nuclear-weapons-mismanagement"
